borrow_id,request_id,hold_id,borrow_date,return_id
1,501,1,2023-08-30 19:05:00,1
2,502,2,2023-10-23 22:58:18,2
3,503,3,2023-08-22 04:43:26,3
4,504,4,2023-06-01 03:27:20,4
5,505,5,2023-10-10 14:53:46,5
6,506,6,2023-07-02 08:25:17,6
7,507,7,2023-08-02 15:31:49,7
8,508,8,2023-08-10 11:34:55,8
9,509,9,2023-10-18 15:37:42,9
10,510,10,2023-03-11 04:16:02,10
11,511,11,2023-10-12 21:47:40,11
12,512,12,2023-10-05 13:11:07,12
13,513,13,2023-06-20 18:38:39,13
14,514,14,2023-10-25 00:12:00,14
15,515,15,2023-10-11 23:10:52,15
16,516,16,2023-09-12 11:23:28,16
17,517,17,2023-10-29 07:55:39,17
18,518,18,2023-09-30 22:46:21,18
19,519,19,2023-10-26 15:31:31,19
20,520,20,2023-10-15 13:06:36,20
21,521,21,2023-08-10 03:46:26,21
22,522,22,2023-10-29 14:41:40,22
23,523,23,2023-10-04 00:45:57,23
24,524,24,2023-08-01 00:54:24,24
25,525,25,2023-09-03 06:02:19,25
26,526,26,2023-08-20 02:49:39,26
27,527,27,2023-10-27 04:34:20,27
28,528,28,2023-03-07 18:52:59,28
29,529,29,2023-08-23 19:27:27,29
30,530,30,2023-10-26 04:02:43,30
31,531,31,2023-10-26 08:53:26,31
32,532,32,2023-06-30 18:18:46,32
33,533,33,2023-05-27 07:23:23,33
34,534,34,2023-08-20 14:55:57,34
35,535,35,2023-10-22 17:10:21,35
36,536,36,2023-05-27 22:06:27,36
37,537,37,2023-10-02 10:03:50,37
38,538,38,2023-06-15 07:15:25,38
39,539,39,2023-09-02 18:53:11,39
40,540,40,2023-07-03 13:03:08,40
41,541,41,2023-10-12 14:46:36,41
42,542,42,2023-07-22 06:27:15,42
43,543,43,2023-10-21 02:17:26,43
44,544,44,2023-09-19 15:59:25,44
45,545,45,2023-05-30 08:59:28,45
46,546,46,2023-10-31 22:05:26,46
47,547,47,2023-10-16 12:50:04,47
48,548,48,2023-09-06 14:05:33,48
49,549,49,2023-10-19 05:13:41,49
50,550,50,2023-06-20 10:38:33,50
51,551,51,2023-10-04 01:22:32,51
52,552,52,2023-08-11 17:49:40,52
53,553,53,2023-10-30 21:27:54,53
54,554,54,2023-07-01 09:17:53,54
55,555,55,2023-10-21 21:08:24,55
56,556,56,2023-05-06 20:27:31,56
57,557,57,2023-10-28 20:27:20,57
58,558,58,2023-10-19 19:27:34,58
59,559,59,2023-02-03 20:31:10,59
60,560,60,2023-05-11 19:53:47,60
61,561,61,2023-08-13 00:04:06,61
62,562,62,2023-10-10 02:34:34,62
63,563,63,2023-10-03 01:23:01,63
64,564,64,2023-08-20 21:36:03,64
65,565,65,2023-08-26 00:31:38,65
66,566,66,2023-07-22 18:51:53,66
67,567,67,2023-05-31 01:46:55,67
68,568,68,2023-09-09 11:37:43,68
69,569,69,2023-02-19 10:31:43,69
70,570,70,2023-10-24 20:55:34,70
71,571,71,2023-07-02 16:17:46,71
72,572,72,2023-08-12 10:56:43,72
73,573,73,2023-04-10 10:48:12,73
74,574,74,2023-04-27 13:18:17,74
75,575,75,2023-09-14 17:57:38,75
76,576,76,2023-07-03 06:13:44,76
77,577,77,2023-07-19 15:43:05,77
78,578,78,2023-10-22 08:38:26,78
79,579,79,2023-10-17 08:35:27,79
80,580,80,2023-10-12 17:07:38,80
81,581,81,2023-10-11 18:19:52,81
82,582,82,2023-04-18 10:43:24,82
83,583,83,2023-09-22 21:16:02,83
84,584,84,2023-10-04 17:23:43,84
85,585,85,2023-10-08 17:20:51,85
86,586,86,2023-10-07 23:24:43,86
